text,start,end,sentiment,confidence,speaker
"So what we're talking about, if you haven't guessed by now, is this idea that has been around since at least the mid 18 hundreds, maybe before, about the question of whether or not William Shakespeare was the sole author of all of his works.",240288,258254,NEUTRAL,0.834500432014465,
"And this is Shakespeare from Stratford on the Avon, like that gentleman that we know became an actor and writer, whether or not he was the sole author, whether or not he was a front for some other authors, for some of the works.",258372,274098,NEUTRAL,0.853890359401702,
Some people say he didn't write any of them.,274264,276374,NEUTRAL,0.622097432613372,
Some people said it was various women who weren't allowed to write things at the time.,276412,281960,NEUTRAL,0.573837995529174,
I saw 66 candidates over the years have been put forward.,283370,288570,NEUTRAL,0.883313536643981,
I saw 80.,288720,289846,NEUTRAL,0.798976957798004,
"Oh, really?",289958,290650,NEUTRAL,0.486140042543411,
So there you have it.,290720,292362,NEUTRAL,0.530353009700775,
Somewhere between 66 and 80 something.,292496,294860,NEUTRAL,0.907475590705871,
I know we haven't been accused of writing any of Shakespeare's work.,296670,299546,NEUTRAL,0.674578964710235,
I don't think so.,299568,300538,NEUTRAL,0.515756726264953,
I didn't come across that in my research.,300624,302746,NEUTRAL,0.585532188415527,
But it's an interesting literary.,302928,305310,POSITIVE,0.680886447429657,
"I don't even know if I want to call it a mystery, because some people just say, like, no, I mean, of course he wrote it, and he was.",306130,313850,NEUTRAL,0.521301090717315,
These outsized personalities.,314020,315870,NEUTRAL,0.669137597084045,
"The most famous of the famous are conspiracies are drawn to them, Elvis is still alive.",315950,321310,NEUTRAL,0.519818305969238,
Marilyn Monroe was murdered.,321390,323490,NEGATIVE,0.801498293876648,
"That happens when you are one of the biggest icons in your field, quite often.",324070,329558,POSITIVE,0.754136085510253,
So some people say that's all that it is.,329644,332520,NEUTRAL,0.555322766304016,
"In addition to that, there's a lack of biographical documentation that he actually did write those plays.",333130,342918,NEGATIVE,0.711179971694946,
"And I think that that's also what allows for people to say, well, do we really know.",343014,349066,NEUTRAL,0.785753607749939,
"Right, or that he didn't write them?",349168,351100,NEUTRAL,0.665656089782714,
"It was a time in the 15 hundreds and 16 hundreds where there just wasn't a ton of great preserved information, and we'll kind of talk about a lot of that.",351790,362430,NEGATIVE,0.566043853759765,
So we do know that William Shakespeare did live.,362580,365994,NEUTRAL,0.834319293498992,
"He was from, like you said, stratford on Avon.",366052,368670,NEUTRAL,0.90491783618927,
"It was at the time about a two to three day journey from London, about 100 something miles, I think.",368750,374498,NEUTRAL,0.928175389766693,
And he definitely did live.,374664,376870,POSITIVE,0.555793285369873,
He definitely did exist.,376940,378162,NEUTRAL,0.563480079174041,
"That's not a question, because we do have documentary evidence that this person lived from 1564 to 1616, about 52 years.",378226,387958,NEUTRAL,0.866127610206604,
"And depending on when you place his birth date, maybe 52 years on the nose.",388044,392170,NEUTRAL,0.726788461208343,
So we know he existed.,392510,394022,NEUTRAL,0.789683640003204,
"Again, what's an issue, what's being questioned is whether that man, William Shakespeare from Stratford on Avon, who went on to become an actor, who went on to become a producer, who worked in the Globe Theater, whether he was the author of the plays we consider written by Shakespeare.",394086,410762,NEUTRAL,0.816423535346984,
That's what's at question.,410826,412638,NEUTRAL,0.783235371112823,
"Yeah, so, like you said, he was a real dude.",412804,415650,NEUTRAL,0.492617338895797,
He came from a family that was.,416070,418260,NEUTRAL,0.810785174369812,
"I mean, I kind of read it as a little bit middle class.",418630,421250,NEUTRAL,0.631498217582702,
"They certainly were not, like, upper class nobility types.",421320,424770,NEUTRAL,0.556119441986084,
His father was a glover.,425190,427470,NEUTRAL,0.677085041999816,
He wore.,427550,428530,NEUTRAL,0.726470828056335,
"Well, I guess he wore gloves, too, but he made gloves.",428970,431426,NEUTRAL,0.810736417770385,
Allow me to demonstrate.,431538,432930,NEUTRAL,0.800698220729827,
It'd be pretty weird if he didn't.,433010,434870,NEGATIVE,0.484365165233612,
"That guy won't even wear his own gloves, but he produced these very fine gloves for well to do people.",435690,442460,POSITIVE,0.605553746223449,
"But he did achieve some, I guess, worked his way up the social chain a little bit, because eventually he would serve as what's sort of like a mayor in Stratford.",442910,454874,NEUTRAL,0.641725659370422,
"And again, while not like they were fairly well regarded as people, right?",455002,461134,NEGATIVE,0.557721972465515,
"So we don't know for certain, but there's a pretty good.",461252,465842,POSITIVE,0.731034338474273,
"There's a much better chance than not that because of his father's position in town, because they had some money, like you said, they were middle class.",465896,474834,NEUTRAL,0.547624051570892,
He almost certainly would have been educated at the grammar school at Stratford.,474952,479266,NEUTRAL,0.789018869400024,
"So what most people think is that William Shakespeare was educated until about the age of 13, and he would have learned things like Latin, he would have learned history, he would have learned some classic literature.",479378,492662,NEUTRAL,0.822946190834045,
He definitely would have been exposed to stuff that whoever wrote Shakespeare's plays would go on to expound on.,492806,501098,NEUTRAL,0.736406922340393,
So he definitely was.,501264,502700,NEUTRAL,0.593034148216247,
"I can't say that that's the, like, you really have to be careful what you say about this.",503150,507214,NEGATIVE,0.547030568122863,
I know.,507252,507662,NEUTRAL,0.513172030448913,
I was about to say so he definitely was educated.,507716,509802,NEUTRAL,0.762627780437469,
We don't know that he was.,509866,510814,NEUTRAL,0.689438641071319,
"This is all just a supposition, but it's a pretty good bet.",510852,514142,POSITIVE,0.776632785797119,
It's a good supposition that he actually was educated.,514196,517086,POSITIVE,0.502841055393219,
Yeah.,517278,517586,NEUTRAL,0.549144744873046,
And all this.,517608,518338,NEUTRAL,0.580659985542297,
"The reason that's important is all of this kind of comes back later, as some people say, proof that he may not have written this stuff, because one of the main arguments used many times is how could a kid who came from here have known about these military exploits and the elizabethan court and all these different languages and all this highfalutin stuff that he wrote about?",518424,542122,NEUTRAL,0.608421504497528,
So it's important to talk about his education.,542176,546058,NEUTRAL,0.754840970039367,
"And it seems like he was likely educated pretty well until 13, which I'm not even sure if that's early or late as far as the time period goes.",546144,555518,POSITIVE,0.510480344295501,
Do you know if that was kind of generally it for kids?,555684,559120,NEUTRAL,0.876557409763336,
"It was in the middle, because he could have just as easily not been educated at all.",560050,565438,NEGATIVE,0.570664346218109,
Right.,565524,565774,NEUTRAL,0.566474616527557,
Of course.,565812,566378,NEUTRAL,0.55517965555191,
But he also didn't go on to Cambridge or Oxford to extend his studies.,566484,571182,NEUTRAL,0.659407198429107,
So he was in there in the middle.,571246,572578,NEUTRAL,0.810477972030639,
They think he was probably educated.,572664,574398,NEUTRAL,0.776213705539703,
"Not highly educated, but also not uneducated.",574494,578230,NEUTRAL,0.627955555915832,
That's the key.,578570,579462,NEUTRAL,0.570892751216888,
"And if there was evidence he had not gone to school, I think that the anti Shakespeare people would have a real mark in their favor.",579516,589030,NEUTRAL,0.596879363059997,
"But he has just enough education that you can make the case like, no, this guy learned about this stuff already and he could have known about it.",589180,597946,NEGATIVE,0.474586606025695,
"And when you add imagination and natural talent, you come up with Shakespeare, conceivably.",597968,603194,NEUTRAL,0.50013530254364,
"Yeah, he got married to, you know, go ahead and insert Anne Hathaway joke there.",603322,611200,NEUTRAL,0.699464499950408,
"You know she's a real actor, right?",611970,613762,NEUTRAL,0.784474670886993,
Sure.,613896,614194,NEUTRAL,0.475346893072128,
Yeah.,614232,614530,NEUTRAL,0.549144744873046,
Devil wears Prada and princess diaries.,614600,617650,NEUTRAL,0.844077944755554,
I think she was in inception.,618310,621090,NEUTRAL,0.864588558673858,
No.,621670,622514,NEUTRAL,0.493618667125701,
Was she interstellar?,622712,624542,NEUTRAL,0.870173811912536,
"Yes, she did a stellar job in Interstellar.",624686,627746,POSITIVE,0.951089680194854,
Come on.,627858,628760,NEUTRAL,0.575786113739013,
They got married when he was quite a bit younger.,629290,633346,NEUTRAL,0.854249358177185,
"She was 26, he was 18, she was pregnant, which is probably a little unusual for the time.",633378,639546,NEUTRAL,0.674889504909515,
"They had a daughter named Susannah and then had twins, boy and a girl.",639728,643594,NEUTRAL,0.91798585653305,
Twin.,643632,644022,NEUTRAL,0.76526403427124,
And the boy named Hamnet.,644086,646678,NEUTRAL,0.81131112575531,
"Not Hamlet, but Hamnet.",646774,648486,NEUTRAL,0.827650785446167,
Yeah.,648598,648826,NEUTRAL,0.549144744873046,
Which apparently they've never turned up another use of that name at the time.,648848,654798,NEUTRAL,0.582095861434936,
Proof he was eleven years old when he died.,654884,659658,NEUTRAL,0.65383493900299,
"And that kind of comes into play later on as well, and then there's about.",659834,665794,NEUTRAL,0.887520909309387,
"From 1585 to about 1592, there's about a seven year gap where we don't know a lot about what was going on with Shakespeare.",665992,675730,NEUTRAL,0.677990674972534,
"And then he pops up, which a lot can happen in seven years again, not trying to sway people one way or the other, but you can certainly learn a lot in seven years if you have some big life experiences.",676150,687350,POSITIVE,0.561143338680267,
"But he pops up in London in 1592 again, as far as the record go.",687930,692620,NEUTRAL,0.915350794792175,
Goes.,693070,693482,NEUTRAL,0.560582399368286,
"And keep in mind, a lot of this record, before he was known in his lifetime as an author, was just kind of not flimsy, but just not a lot of stuff like various little lawsuits and mortgages and sort of banking records and stuff like that's.",693536,713546,NEUTRAL,0.778521478176116,
That's about as much documentation as you would be able to come up with on most people.,713658,719058,NEUTRAL,0.632174491882324,
And you can make a case that there's more documentation on Shakespeare than most other people who weren't nobility of his era.,719144,727326,NEUTRAL,0.737436592578887,
And that's because there's been so much scholarship and study and research into his life that they've turned up as much as they can.,727438,737094,NEUTRAL,0.636622428894043,
But what they've turned up only amounts to about 500 different pieces of documentation of one form or another.,737212,744922,NEUTRAL,0.69889885187149,
Right?,745056,745740,NEUTRAL,0.736009001731872,
So one of those pieces of documentation early on in London is a pamphlet written by.,746190,754526,NEUTRAL,0.897929489612579,
Generally believed to be written by this guy named Robert Green.,754708,757182,NEUTRAL,0.876740753650665,
"There were some other people that could have possibly written it, but it's called Green's grotesworth of wit.",757236,763278,NEUTRAL,0.808810114860534,
And there's a line where he references Shakespeare in it in a contemporaneous fashion.,763374,769438,NEUTRAL,0.869064450263977,
Is that right?,769534,770500,NEUTRAL,0.796573340892791,
Doesn't matter where he kind of takes a shot at him.,771350,775746,NEUTRAL,0.672235369682312,
"He talks about shake, says there's an upstart crow in his own conceit, the only shake scene in a country, which kind of translates into he kind of thinks he's the only Shakespeare.",775768,789222,NEUTRAL,0.757119059562683,
Right?,789366,789818,NEUTRAL,0.736009001731872,
Like he thinks he's all that.,789904,791210,NEUTRAL,0.565348386764526,
"And it should be noted also as far as the thievery that in Aesop's fables, crows would steal the feathers of others.",791280,799738,NEUTRAL,0.672526657581329,
So the people in the.,799824,801820,NEUTRAL,0.721827864646911,
"I don't want to say anti Shakespeare, but the people say that he might not have written these things, says this is a big clue in saying that he might have stolen some of these things.",802270,810974,NEUTRAL,0.578047573566436,
That's why he's referred to as a crow by this other guy.,811092,813634,NEUTRAL,0.710946500301361,
"Yeah, but in that quote, he says, the upstart crow is beautified with our feathers.",813752,822574,POSITIVE,0.79554408788681,
And he's a playwright.,822622,823646,NEUTRAL,0.801453948020935,
"So the pro Shakespeare people, you call them the pro Stratford group, they suggest that what Green is talking about is he's poking fun at a common actor who is deigning to even attempt to write plays, which among playwrights is far more important than acting.",823758,843782,NEUTRAL,0.532035291194915,
"Anybody can act, but it really takes something to write a play, at least that's what they thought at the time, and that he's taking a shot at him for that.",843846,852218,NEUTRAL,0.77378886938095,
Yeah.,852384,852714,NEUTRAL,0.549144744873046,
And we should point out that being an actor back then and being a part of theater was not like it is today.,852752,857966,NEUTRAL,0.582754254341125,
It wasn't some revered position.,858148,861726,NEUTRAL,0.674923658370971,
"It was sort of body plays, and common people were into this kind of thing.",861828,866866,NEUTRAL,0.800092577934265,
"So when he says he was just an actor, that's a pretty big diss.",866888,871534,NEGATIVE,0.624706506729126,
Right?,871662,872290,NEUTRAL,0.736009001731872,
"So the last thing that we have, I guess the last documentation, although there's other stuff that's been turned up, they did archaeological expeditions on his house.",872440,882774,NEUTRAL,0.8936607837677,
"I think his house has been under ownership of a public trust since, like, the 19th century, and they've carried out archaeological examinations of it, and they found that he went back and forth between London and Stratford, so they know stuff about him like that.",882892,901754,NEUTRAL,0.901572883129119,
"But as far as, like, documentation goes, the last piece of documentation we have comes in 1616, which is his will that he wrote.",901792,910762,NEUTRAL,0.893016755580902,
"And then a few months later, he died.",910826,913050,NEGATIVE,0.827745258808136,
"And I guess the last, last piece of documentation is his tombstone, which in and of itself is curious because his tombstone contains a curse on it, but not his name.",913210,922980,NEUTRAL,0.563990712165832,
Yeah.,924070,924482,NEUTRAL,0.549144744873046,
Is that the one with the quote?,924536,927710,NEUTRAL,0.861144363880157,
"Yeah, it's a curse.",927870,929442,NEGATIVE,0.759042203426361,
"He's saying, like, don't dig me up or you're going to be cursed.",929506,932162,NEGATIVE,0.691080093383789,
Yeah.,932226,932406,NEUTRAL,0.549144744873046,
"It says, good friend, for Jesus sake, forbear to dig the dust enclosed here.",932428,936934,NEUTRAL,0.745097458362579,
"Blessed be the man who spares these stones, and cursed be he who moves my bones.",937052,942170,NEUTRAL,0.609828829765319,
"Some people point to that as poor writing and saying, well, Shakespeare was a great writer.",942830,948550,NEGATIVE,0.499217420816421,
Wouldn't have written this kind of shabby curse.,948630,951622,NEGATIVE,0.932427585124969,
"And other people say, like, who said Shakespeare even wrote that, necessarily?",951766,956430,NEUTRAL,0.630315661430358,
"This is a good, instructive example of kind of the back and forth between these people.",956850,961198,POSITIVE,0.806999027729034,
Right?,961284,961630,NEUTRAL,0.736009001731872,
This is terrible writing.,961700,962890,NEGATIVE,0.974391341209411,
Who said Shakespeare wrote it?,962970,964334,NEUTRAL,0.701611638069152,
"And then the anti Shakespeare crew says, well, of course he wrote it, because who else would just not think to put his name on his own tombstone?",964372,973006,NEGATIVE,0.540402114391326,
And the other ones just put their head in their hands and just start crying and it just goes downhill from there.,973118,978534,NEGATIVE,0.94702923297882,
But that's a really good example of people will jump on any single thing that they possibly can and often interpret it one way or the other.,978572,988954,POSITIVE,0.481113523244857,
So one single thing provides evidence for both sides.,988992,992454,NEUTRAL,0.768772840499877,
It's that kind of.,992502,993658,NEUTRAL,0.708777248859405,
"Yeah, totally.",993824,994970,NEUTRAL,0.486401855945587,
Another thing that people point to is the fact that we don't have a lot of letters and papers and things like that.,995310,1004302,NEUTRAL,0.517174899578094,
"Because his family line ended in 1670, I think he had a granddaughter, Elizabeth Barnard, that died without bearing children.",1004356,1015122,NEUTRAL,0.622426688671112,
Right.,1015256,1015698,NEUTRAL,0.566474616527557,
So most of his stuff basically lost as far as family possessions and things like that.,1015784,1021220,NEGATIVE,0.545110702514648,
"People do point to the will at times and say, well, in his know, he leaves certain things, but there's never any mention of any manuscripts.",1021830,1032230,NEUTRAL,0.764947116374969,
"And again, this is all like, it's a little weird, maybe, but none of this is proof.",1032810,1037910,NEGATIVE,0.568754613399505,
"And through the personal records that we do have in those 500 references, none of them really reference him like manuscripts and him writing things.",1038350,1049194,NEUTRAL,0.695169746875762,
Right.,1049392,1049898,NEUTRAL,0.566474616527557,
"That's what's most compelling to me, is that when you put together the documentation about his life that we know, it's clear he's involved in theater, he's an actor.",1049984,1060106,POSITIVE,0.668677866458892,
We get that.,1060138,1060894,NEUTRAL,0.629035532474517,
That comes through loud and clear.,1061012,1062526,NEUTRAL,0.559321105480194,
What doesn't come through that isn't documented at all is him as a writer.,1062628,1067294,NEGATIVE,0.57953941822052,
"And that thing about the will, the fact that if you look at the wills and bequeathments of other writers of the time, you can find evidence that they were writers.",1067422,1080034,NEUTRAL,0.882328271865844,
"They leave books to other people, that they leave unfinished manuscripts that stay in the family for generations.",1080082,1089446,NEUTRAL,0.63623958826065,
And it is very curious.,1089638,1092630,NEUTRAL,0.50698184967041,
His will is very curious.,1092710,1094614,NEUTRAL,0.801990628242492,
"But the fact that his personal stuff was just lost to history because his granddaughter was the end of the family line, that actually holds up.",1094742,1102606,NEUTRAL,0.656270503997802,
"Because other great authors of, say, the same age or of any age, a lot of the reason that their personal effects and papers are still around is because their family home was passed down from generation to generation to generation.",1102708,1118558,NEUTRAL,0.648994088172912,
And there was a long enough period of time for the importance of that writer to become clear.,1118734,1125122,NEUTRAL,0.835738956928253,
"And so other people came in and said, can we have your great, great, great grandfather's personal effects?",1125256,1130790,NEUTRAL,0.704660773277282,
We want to put them in this museum.,1131370,1133330,POSITIVE,0.679325997829437,
There was enough time.,1133410,1134406,NEUTRAL,0.648742079734802,
There wasn't enough time.,1134508,1135494,NEGATIVE,0.545480251312255,
There was only 70 years between the death of Shakespeare and the end of his family line.,1135532,1139558,NEUTRAL,0.739395380020141,
"And he didn't become widely popular until the, I think, middle of the 18th century.",1139644,1144966,NEUTRAL,0.515039384365081,
So he was kind of a victim of that.,1145078,1147562,NEGATIVE,0.499552637338638,
"And both of those, to me, provide really good evidence for why there isn't documentation of his writing.",1147616,1155530,NEUTRAL,0.518133044242858,
"Yeah, absolutely.",1155690,1156800,POSITIVE,0.501430928707122,
"And by the way, the Atlantic has a great, pretty deep dive article, as they do on this, which provided a lot of the supplementary information that we got by Elizabeth Winkler.",1157970,1170654,POSITIVE,0.900578916072845,
"Yeah, Elizabeth, 2019.",1170702,1172366,NEUTRAL,0.753067374229431,
Great read.,1172478,1173380,POSITIVE,0.946561753749847,
"One of the things that Winkler points out and other people have pointed out on the will as well, is, like Shakespeare wrote a lot about music and I think there were 300 musical terms in all of his plays, mention of 26 musical instruments, and in his will.",1174310,1191274,NEUTRAL,0.858087718486785,
"He didn't even have a loot to pass down to anybody and like you said, didn't have books, even like a library that he wanted to give.",1191472,1199162,NEGATIVE,0.697041451930999,
"And again, this is not proof necessarily of anything, but all of this stuff has added up over the years to enough for people to arise to get suspicious about it, I think.",1199296,1212206,NEGATIVE,0.612622201442718,
Exactly.,1212308,1212960,NEUTRAL,0.566281497478485,
You want to take a break?,1213330,1214510,NEUTRAL,0.847015976905822,
"A breather, I guess you could call it.",1214580,1216430,NEUTRAL,0.829135537147522,
"Yeah, let's take a breather.",1216500,1218522,NEUTRAL,0.758408367633819,
Let's take five.,1218586,1219600,NEUTRAL,0.757530987262725,
"T Mobile will cover the cost of four amazing new iPhone fifteen s, and each line is only $25 a month.",1240810,1246022,POSITIVE,0.966589629650116,
New iPhone 15s best new year ever.,1246076,1248680,POSITIVE,0.985963940620422,
Get four iPhone own fifteen s on us with eligible trade in when you switch to T Mobile.,1249130,1253866,NEUTRAL,0.527324557304382,
Minimum of four lines for $25 per line per month with auto pay discount using debit or bank account $5 more per line without auto pay plus taxes and fees.,1254058,1260186,NEUTRAL,0.821647465229034,
Phone fee 24 monthly bill credits for well qualified customers.,1260218,1262462,NEUTRAL,0.741288959980011,
Contact us before canceling accounts to continue bill credits or credit stop and balance on required finance agreement due $35 per line connection charge.,1262516,1268078,NEUTRAL,0.737734138965606,
"Apply ctmobile.com this year, Dell Technologies wants to help you do amazing things with their best tech.",1268094,1277138,POSITIVE,0.974316656589508,
For a limited time only.,1277224,1278518,NEUTRAL,0.864414811134338,
"Save on select next gen pcs like the XPS 13 plus, where you can make the everyday easier with Windows eleven.",1278604,1285650,POSITIVE,0.881245613098144,
"That's right, you can unleash more possibilities with cutting edge systems, most advanced features, and great prices.",1285730,1291862,POSITIVE,0.960452914237976,
"Plus, curate your dream setup with deals on select monitors, mice and more.",1291926,1296522,POSITIVE,0.574657976627349,
Musthave electronics and accessories.,1296576,1298438,NEUTRAL,0.625477731227874,
"And when you shop online@dell.com deals, you'll have access to stateoftheart technology to match your forward thinking spirit and free shipping on everything.",1298534,1307582,POSITIVE,0.857490718364715,
Amazing prices await you for a limited time only@dell.com.,1307716,1311582,POSITIVE,0.958121418952941,
Slash deals that's dell.com slash deals.,1311636,1315250,NEUTRAL,0.59257298707962,
"Hello, America.",1319910,1320814,NEUTRAL,0.607524096965789,
"It's Ted from consumer cellular, the guy in the orange sweater.",1320862,1323550,NEUTRAL,0.820230722427368,
And this is your wake up call.,1323630,1325090,NEUTRAL,0.777696073055267,
"If you don't have consumer cellular yet, now is the perfect time to switch and save for a limited time.",1325160,1329602,POSITIVE,0.588390111923217,
New customers can get wireless service for as low as $15 a month for your first year.,1329656,1333670,POSITIVE,0.618759393692016,
"Yep, the same exact nationwide coverage as the leading carriers for $15 a month for an entire year.",1333740,1338562,NEUTRAL,0.758978545665741,
What are you waiting for?,1338636,1339770,NEUTRAL,0.779853343963623,
Call 1888 Freedom or visit consumercellular.com and use code Radio 15.,1339840,1344634,NEUTRAL,0.88203752040863,
See consumercellular.com Firstyear 15 for promotional details.,1344752,1348890,NEUTRAL,0.872209548950195,
"Hey, everybody.",1351170,1351870,NEUTRAL,0.610847294330596,
"It's time to talk about squarespace, and in particular, Squarespace's fluid engine, a next generation website design system only from Squarespace.",1351940,1360810,NEUTRAL,0.596107542514801,
It makes it easier than ever for anybody to unlock unbreakable creativity.,1360890,1365658,POSITIVE,0.954032242298126,
That's right.,1365754,1366254,NEUTRAL,0.568978309631347,
That's because you start with a best in class website template.,1366292,1369054,NEUTRAL,0.499991953372955,
Then you customize every design detail with reimagined drag and drop technology for desktop or mobile.,1369102,1374814,NEUTRAL,0.691416680812835,
You can stretch your imagination online with fluid engine built in and ready to go on any new squarespace site.,1374862,1380838,POSITIVE,0.8196462392807,
"Yep, you can use your site to easily sell custom merch through your online store.",1380924,1385718,POSITIVE,0.826129972934722,
"You can upload, organize, and access all your content from one place with your asset library.",1385804,1390390,POSITIVE,0.538127541542053,
And those amazing website templates are all flexible with designs for every category and use case.,1390470,1395898,POSITIVE,0.947694718837738,
That's right.,1395984,1396426,NEUTRAL,0.568978309631347,
So just go to squarespace.com stuff for a free trial.,1396448,1400474,NEUTRAL,0.689342081546783,
"And when you're ready to launch, use the offer code stuff to save 10% off your first purchase of a website or domain that Ed, who helped us put this together, mentions that.",1400522,1423938,NEUTRAL,0.575477659702301,
I wanted to get your take on it.,1424024,1425410,NEUTRAL,0.852859616279602,
"I didn't really think it had a whole lot to do with it one way or the other, was all of the various misspellings of Shakespeare's name over the years.",1425480,1434360,NEUTRAL,0.539654433727264,
He would SIgN it in different ways.,1435130,1436950,NEUTRAL,0.818496584892273,
He would abbreviate it in different ways.,1437020,1439802,NEUTRAL,0.867431581020355,
"There are documents with, I mean, it looks Like 15 different ways of spelling SHAKesPEAre.",1439936,1445430,NEUTRAL,0.709907948970794,
"Everything from shacks with an x pier to spear, as in something you would JAB somebody with.",1445590,1452220,NEUTRAL,0.745321452617645,
It's misspelled all over the place.,1452910,1454622,NEGATIVE,0.747616708278656,
"And I just kind of took that as people misspelled things a lot back then, there weren't necessarily records that you could go look at very easily, so you might just take a guess at how to spell a name, and then it was on the record.",1454676,1468370,NEUTRAL,0.557400643825531,
"And so I didn't really think that factored in much, did you?",1468440,1471906,NEGATIVE,0.534628629684448,
I didn't.,1472088,1472814,NEUTRAL,0.599650263786315,
